change,changeOverTime,changePercent,close,fClose,fHigh,fLow,fOpen,fVolume,high,id,key,label,low,marketChangeOverTime,open,subkey,symbol,uClose,uHigh,uLow,uOpen,uVolume,updated,volume
-2.2,0.112764228,-0.0158,136.87,136.6658,139.4616,133.3907,133.6004,120529544,139.67,HISTORICAL_PRICES,AAPL,21-Jan-21,133.59,0.112764228,133.8,,AAPL,136.87,139.67,133.59,133.8,120529544,2/5/2021 2:17,120529544
-4.84,0.073414634,-0.0354,132.03,131.833,132.2923,128.3582,128.468,104319489,132.49,HISTORICAL_PRICES,AAPL,20-Jan-21,128.55,0.073414634,128.66,,AAPL,132.03,132.49,128.55,128.66,104319489,2/5/2021 2:17,104319489
-4.2,0.039268293,-0.0318,127.83,127.6393,128.518,126.7486,127.5893,90757329,128.71,HISTORICAL_PRICES,AAPL,19-Jan-21,126.938,0.039268293,127.78,,AAPL,127.83,128.71,126.938,127.78,90757329,2/5/2021 2:16,90757329
-0.69,0.033658537,-0.0054,127.14,126.9503,130.0299,126.8105,128.5878,111598531,130.2242,HISTORICAL_PRICES,AAPL,15-Jan-21,127,0.033658537,128.78,,AAPL,127.14,130.2242,127,128.78,111598531,2/5/2021 2:16,111598531
1.77,0.04804878,0.0139,128.91,128.7177,130.8045,128.5679,130.6048,90221755,131,HISTORICAL_PRICES,AAPL,14-Jan-21,128.76,0.04804878,130.8,,AAPL,128.91,131,128.76,130.8,90221755,2/5/2021 2:16,90221755
1.98,0.064146341,0.0154,130.89,130.6947,131.2539,128.2983,128.5679,88636831,131.45,HISTORICAL_PRICES,AAPL,13-Jan-21,128.49,0.064146341,128.76,,AAPL,130.89,131.45,128.49,128.76,88636831,2/5/2021 2:16,88636831
-2.09,0.047154472,-0.016,128.8,128.6078,129.4965,126.6707,128.3083,91951145,129.69,HISTORICAL_PRICES,AAPL,12-Jan-21,126.86,0.047154472,128.5,,AAPL,128.8,129.69,126.86,128.5,91951145,2/5/2021 2:17,91951145
0.18,0.048617886,0.0014,128.98,128.7875,129.9758,128.3083,128.9972,100620880,130.17,HISTORICAL_PRICES,AAPL,11-Jan-21,128.5,0.048617886,129.19,,AAPL,128.98,130.17,128.5,129.19,100620880,2/5/2021 2:17,100620880
3.07,0.073577236,0.0238,132.05,131.853,132.4321,130.0357,132.2324,105158245,132.63,HISTORICAL_PRICES,AAPL,8-Jan-21,130.23,0.073577236,132.43,,AAPL,132.05,132.63,130.23,132.43,105158245,2/5/2021 2:17,105158245
-1.13,0.064390244,-0.0086,130.92,130.7247,131.4336,127.6692,128.1685,109578157,131.63,HISTORICAL_PRICES,AAPL,7-Jan-21,127.86,0.064390244,128.36,,AAPL,130.92,131.63,127.86,128.36,109578157,2/5/2021 2:16,109578157
-4.32,0.029268293,-0.033,126.6,126.4111,130.8544,126.1934,127.5294,155087970,131.0499,HISTORICAL_PRICES,AAPL,6-Jan-21,126.382,0.029268293,127.72,,AAPL,126.6,131.0499,126.382,127.72,155087970,2/5/2021 2:17,155087970
4.41,0.065121951,0.0348,131.01,130.8145,131.5434,128.2384,128.6977,97664898,131.74,HISTORICAL_PRICES,AAPL,5-Jan-21,128.43,0.065121951,128.89,,AAPL,131.01,131.74,128.43,128.89,97664898,2/5/2021 2:16,97664898
-1.6,0.052113821,-0.0122,129.41,129.2169,133.4122,126.5709,133.3208,143301887,133.6116,HISTORICAL_PRICES,AAPL,4-Jan-21,126.76,0.052113821,133.52,,AAPL,129.41,133.6116,126.76,133.52,143301887,2/5/2021 2:16,143301887
3.28,0.078780488,0.0253,132.69,132.492,134.539,131.5235,133.8799,99116586,134.74,HISTORICAL_PRICES,AAPL,31-Dec-20,131.72,0.078780488,134.08,,AAPL,132.69,134.74,131.72,134.08,99116586,2/5/2021 2:17,99116586
